Stretch Ratio (-),Stress (Pa)
4.49,2930.6620671526966
4.5,2937.4074074076566
4.51,2944.1517819482187
4.52,2950.8951993110727
4.53,2957.637667938777
4.54,2964.379196181024
4.55,2971.1197922958454
4.56,2977.8594644508253
4.57,2984.598220724286
4.58,2991.3360691064518
4.59,2998.073017500605
4.6,3004.809073724218
4.61,3011.5442455100615
4.62,3018.2785405073146
4.63,3025.011966282638
4.64,3031.7445303212417
4.65,3038.476240027941
4.66,3045.2071027281804
4.67,3051.937125669063
4.68,3058.6663160203443
4.69,3065.3946808754263
4.7,3072.122227252328
4.71,3078.848962094646
4.72,3085.5748922725047
4.73,3092.3000245834796
4.74,3099.0243657535157
4.75,3105.747922437833
4.76,3112.470701221823
4.77,3119.1927086219125
4.78,3125.913951086443
4.79,3132.6344349965107
4.8,3139.354166666813
4.81,3146.0731523464765
4.82,3152.7913982198693
4.83,3159.5089104074013
4.84,3166.225694966326
4.85,3172.941757891513
4.86,3179.6571051162227
4.87,3186.371742512853
4.88,3193.085675893703
4.89,3199.798911011706
4.9,3206.5114535611365
4.91,3213.2233091783623
4.92,3219.934483442511
4.93,3226.644981876196
4.94,3233.3548099461855
4.95,3240.0639730640833
4.96,3246.7724765869957
4.97,3253.480325818193
4.98,3260.187526007748
4.99,3266.8940823531834
5.0,3273.6000000000995
