,Nu,Mu,Alpha,Cost,Lambda
170,0.37,0.1,-54.0,0.7501326716118505,0.2846153846153846
171,0.37,0.1,-53.0,0.6970204546840238,0.2846153846153846
172,0.37,0.1,-52.0,0.6646643719842816,0.2846153846153846
173,0.37,0.1,-51.0,0.6487151861519461,0.2846153846153846
174,0.37,0.1,-50.0,0.6456206232356033,0.2846153846153846
175,0.37,0.1,-49.0,0.6524859024593991,0.2846153846153846
176,0.37,0.1,-48.0,0.6669582617373676,0.2846153846153846
177,0.37,0.1,-47.0,0.6871313734597465,0.2846153846153846
178,0.37,0.1,-46.0,0.7114662412480923,0.2846153846153846
179,0.37,0.1,-45.0,0.7387257549809947,0.2846153846153846
180,0.37,0.1,-44.0,0.7679205630078891,0.2846153846153846
181,0.37,0.1,-43.0,0.7982643245757316,0.2846153846153846
182,0.37,0.1,-42.0,0.8291367339510852,0.2846153846153846
183,0.37,0.1,-41.0,0.8600529853490398,0.2846153846153846
184,0.37,0.1,-40.0,0.89063857553651,0.2846153846153846
185,0.37,0.1,-39.0,0.9206085297115292,0.2846153846153846
186,0.37,0.1,-38.0,0.9497502933991679,0.2846153846153846
187,0.37,0.1,-37.0,0.977909662702256,0.2846153846153846
188,0.37,0.1,-36.0,1.0049792328227942,0.2846153846153846
189,0.37,0.1,-35.0,1.03088893383463,0.2846153846153846
190,0.37,0.1,-34.0,1.0555982974324325,0.2846153846153846
191,0.37,0.1,-33.0,1.0790901561609678,0.2846153846153846
192,0.37,0.1,-32.0,1.1013655332730736,0.2846153846153846
193,0.37,0.1,-31.0,1.1224395129299287,0.2846153846153846
194,0.37,0.1,-30.0,1.1423379498026922,0.2846153846153846
195,0.37,0.1,-29.0,1.1610948073264364,0.2846153846153846
196,0.37,0.1,-28.0,1.1787501323603078,0.2846153846153846
197,0.37,0.1,-27.0,1.1953484199912368,0.2846153846153846
198,0.37,0.1,-26.0,1.2109374460799958,0.2846153846153846
199,0.37,0.1,-25.0,1.2255673934892046,0.2846153846153846
200,0.37,0.1,-24.0,1.2392902940922104,0.2846153846153846
201,0.37,0.1,-23.0,1.2521597303720178,0.2846153846153846
202,0.37,0.1,-22.0,1.2642307848309724,0.2846153846153846
203,0.37,0.1,-21.0,1.2755602801715735,0.2846153846153846
204,0.37,0.1,-20.0,1.2862072924729195,0.2846153846153846
205,0.375,0.1,-60.0,1.897455448782957,0.30000000000000004
206,0.375,0.1,-59.0,1.5571122462743494,0.30000000000000004
207,0.375,0.1,-58.0,1.2927286316051163,0.30000000000000004
208,0.375,0.1,-57.0,1.0901230480130593,0.30000000000000004
209,0.375,0.1,-56.0,0.9376149664854948,0.30000000000000004
210,0.375,0.1,-55.0,0.8255928082909855,0.30000000000000004
211,0.375,0.1,-54.0,0.7461560280551457,0.30000000000000004
212,0.375,0.1,-53.0,0.6928186357345171,0.30000000000000004
213,0.375,0.1,-52.0,0.6602636221602031,0.30000000000000004
214,0.375,0.1,-51.0,0.644139562442086,0.30000000000000004
215,0.375,0.1,-50.0,0.6408921695596194,0.30000000000000004
216,0.375,0.1,-49.0,0.647624807592117,0.30000000000000004
217,0.375,0.1,-48.0,0.6619830081894199,0.30000000000000004
218,0.375,0.1,-47.0,0.6820588720875872,0.30000000000000004
219,0.375,0.1,-46.0,0.7063119538562144,0.30000000000000004
220,0.375,0.1,-45.0,0.7335038040593526,0.30000000000000004
221,0.375,0.1,-44.0,0.7626438306451022,0.30000000000000004
222,0.375,0.1,-43.0,0.79294453845523,0.30000000000000004
223,0.375,0.1,-42.0,0.8237845431215098,0.30000000000000004
224,0.375,0.1,-41.0,0.8546780258974639,0.30000000000000004
225,0.375,0.1,-40.0,0.8852495273231503,0.30000000000000004
226,0.375,0.1,-39.0,0.9152131655604904,0.30000000000000004
227,0.375,0.1,-38.0,0.9443555220071644,0.30000000000000004
228,0.375,0.1,-37.0,0.972521566776978,0.30000000000000004
229,0.375,0.1,-36.0,0.9996031038218184,0.30000000000000004
230,0.375,0.1,-35.0,1.0255293045919702,0.30000000000000004
231,0.375,0.1,-34.0,1.0502589737423051,0.30000000000000004
232,0.375,0.1,-33.0,1.0737742483308252,0.30000000000000004
233,0.375,0.1,-32.0,1.0960754879235524,0.30000000000000004
234,0.375,0.1,-31.0,1.1171771454717574,0.30000000000000004
235,0.375,0.1,-30.0,1.137104477089515,0.30000000000000004
236,0.375,0.1,-29.0,1.1558908801744103,0.30000000000000004
237,0.375,0.1,-28.0,1.1735758666494167,0.30000000000000004
238,0.375,0.1,-27.0,1.1902034249601257,0.30000000000000004
239,0.375,0.1,-26.0,1.2058208483370625,0.30000000000000004
240,0.375,0.1,-25.0,1.2204778539545815,0.30000000000000004
241,0.375,0.1,-24.0,1.2342260168461014,0.30000000000000004
242,0.375,0.1,-23.0,1.2471184600171392,0.30000000000000004
243,0.375,0.1,-22.0,1.2592097880898263,0.30000000000000004
244,0.375,0.1,-21.0,1.2705563114477434,0.30000000000000004
245,0.375,0.1,-20.0,1.2812165371702806,0.30000000000000004
246,0.38,0.1,-60.0,1.8954771582778207,0.3166666666666667
247,0.38,0.1,-59.0,1.5546574985085142,0.3166666666666667
248,0.38,0.1,-58.0,1.2898450124571543,0.3166666666666667
249,0.38,0.1,-57.0,1.0868542705894977,0.3166666666666667
250,0.38,0.1,-56.0,0.9340011746897936,0.3166666666666667
251,0.38,0.1,-55.0,0.8216708544317654,0.3166666666666667
252,0.38,0.1,-54.0,0.741959728497899,0.3166666666666667
253,0.38,0.1,-53.0,0.6883790074780775,0.3166666666666667
254,0.38,0.1,-52.0,0.6556091025055278,0.3166666666666667
255,0.38,0.1,-51.0,0.639296213076456,0.3166666666666667
256,0.38,0.1,-50.0,0.6358838657323377,0.3166666666666667
257,0.38,0.1,-49.0,0.6424734133979416,0.3166666666666667
258,0.38,0.1,-48.0,0.6567085371287358,0.3166666666666667
259,0.38,0.1,-47.0,0.6766796339614892,0.3166666666666667
260,0.38,0.1,-46.0,0.7008446875599671,0.3166666666666667
261,0.38,0.1,-45.0,0.7279637967036775,0.3166666666666667
262,0.38,0.1,-44.0,0.7570450232329481,0.3166666666666667
263,0.38,0.1,-43.0,0.7872996188088116,0.3166666666666667
264,0.38,0.1,-42.0,0.8181050269648551,0.3166666666666667
265,0.38,0.1,-41.0,0.8489743270874275,0.3166666666666667
266,0.38,0.1,-40.0,0.8795310187715101,0.3166666666666667
267,0.38,0.1,-39.0,0.9094882320769719,0.3166666666666667
268,0.38,0.1,-38.0,0.93863160684935,0.3166666666666667
269,0.38,0.1,-37.0,0.9668052134613156,0.3166666666666667
270,0.38,0.1,-36.0,0.9938999946948566,0.3166666666666667
271,0.38,0.1,-35.0,1.0198442976673192,0.3166666666666667
272,0.38,0.1,-34.0,1.0445961387735354,0.3166666666666667
273,0.38,0.1,-33.0,1.068136903205774,0.3166666666666667
274,0.38,0.1,-32.0,1.0904662315950373,0.3166666666666667
275,0.38,0.1,-31.0,1.1115979121598212,0.3166666666666667
276,0.38,0.1,-30.0,1.1315565497137732,0.3166666666666667
277,0.38,0.1,-29.0,1.150374944569262,0.3166666666666667
278,0.38,0.1,-28.0,1.1680920435394662,0.3166666666666667
279,0.38,0.1,-27.0,1.184751302550595,0.3166666666666667
280,0.38,0.1,-26.0,1.2003995080119032,0.3166666666666667
281,0.38,0.1,-25.0,1.2150858982987656,0.3166666666666667
282,0.38,0.1,-24.0,1.2288615679709352,0.3166666666666667
283,0.38,0.1,-23.0,1.2417791660717028,0.3166666666666667
284,0.38,0.1,-22.0,1.2538928026248672,0.3166666666666667
285,0.38,0.1,-21.0,1.2652582574778386,0.3166666666666667
286,0.38,0.1,-20.0,1.275933448380748,0.3166666666666667
287,0.385,0.1,-60.0,1.8934486457606696,0.33478260869565224
288,0.385,0.1,-59.0,1.5521114358825596,0.33478260869565224
289,0.385,0.1,-58.0,1.2868332194114298,0.33478260869565224
290,0.385,0.1,-57.0,1.08342433663821,0.33478260869565224
291,0.385,0.1,-56.0,0.930196790496448,0.33478260869565224
292,0.385,0.1,-55.0,0.8175321156072831,0.33478260869565224
293,0.385,0.1,-54.0,0.7375234161874826,0.33478260869565224
294,0.385,0.1,-53.0,0.6836788484826489,0.33478260869565224
295,0.385,0.1,-52.0,0.6506760108336614,0.33478260869565224
296,0.385,0.1,-51.0,0.6341585143073868,0.33478260869565224
297,0.385,0.1,-50.0,0.6305675046713225,0.33478260869565224
298,0.385,0.1,-49.0,0.6370021468019192,0.33478260869565224
299,0.385,0.1,-48.0,0.6511041082130177,0.33478260869565224
300,0.385,0.1,-47.0,0.6709619332174365,0.33478260869565224
301,0.385,0.1,-46.0,0.6950318968548829,0.33478260869565224
302,0.385,0.1,-45.0,0.7220725182451742,0.33478260869565224
303,0.385,0.1,-44.0,0.7510903931270699,0.33478260869565224
304,0.385,0.1,-43.0,0.7812954078162571,0.33478260869565224
305,0.385,0.1,-42.0,0.8120637270062535,0.33478260869565224
306,0.385,0.1,-41.0,0.8429072268463008,0.33478260869565224
307,0.385,0.1,-40.0,0.8734482691286974,0.33478260869565224
308,0.385,0.1,-39.0,0.903398903338165,0.33478260869565224
309,0.385,0.1,-38.0,0.9325437395379635,0.33478260869565224
310,0.385,0.1,-37.0,0.9607258644429748,0.33478260869565224
311,0.385,0.1,-36.0,0.9878352803407056,0.33478260869565224
312,0.385,0.1,-35.0,1.0137994362180431,0.33478260869565224
313,0.385,0.1,-34.0,1.0385754910520808,0.33478260869565224
314,0.385,0.1,-33.0,1.062144015434466,0.33478260869565224
315,0.385,0.1,-32.0,1.0845038784116834,0.33478260869565224
316,0.385,0.1,-31.0,1.1056681407224775,0.33478260869565224
317,0.385,0.1,-30.0,1.1256607240371004,0.33478260869565224
318,0.385,0.1,-29.0,1.1445137892981077,0.33478260869565224
319,0.385,0.1,-28.0,1.1622656856254434,0.33478260869565224
320,0.385,0.1,-27.0,1.1789593087312606,0.33478260869565224
321,0.385,0.1,-26.0,1.1946409165832457,0.33478260869565224
322,0.385,0.1,-25.0,1.2093592416029924,0.33478260869565224
323,0.385,0.1,-24.0,1.2231648853825592,0.33478260869565224
324,0.385,0.1,-23.0,1.2361100029208774,0.33478260869565224
325,0.385,0.1,-22.0,1.2482481906263294,0.33478260869565224
326,0.385,0.1,-21.0,1.2596346777020744,0.33478260869565224
327,0.385,0.1,-20.0,1.2703267696131897,0.33478260869565224
328,0.39,0.1,-60.0,1.8913727284158013,0.35454545454545466
329,0.39,0.1,-59.0,1.5494712795200225,0.35454545454545466
330,0.39,0.1,-58.0,1.2836854565819873,0.35454545454545466
331,0.39,0.1,-57.0,1.079820961673887,0.35454545454545466
332,0.39,0.1,-56.0,0.9261855226570898,0.35454545454545466
333,0.39,0.1,-55.0,0.8131567336136508,0.35454545454545466
334,0.39,0.1,-54.0,0.7328240675657893,0.35454545454545466
335,0.39,0.1,-53.0,0.6786923366400318,0.35454545454545466
336,0.39,0.1,-52.0,0.6454360619079466,0.35454545454545466
337,0.39,0.1,-51.0,0.6286960247696021,0.35454545454545466
338,0.39,0.1,-50.0,0.6249107702100879,0.35454545454545466
339,0.39,0.1,-49.0,0.6311770730169547,0.35454545454545466
340,0.39,0.1,-48.0,0.6451344039269424,0.35454545454545466
341,0.39,0.1,-47.0,0.6648692844108185,0.35454545454545466
342,0.39,0.1,-46.0,0.6888361240963713,0.35454545454545466
343,0.39,0.1,-45.0,0.7157917164340256,0.35454545454545466
344,0.39,0.1,-44.0,0.7447410546845994,0.35454545454545466
345,0.39,0.1,-43.0,0.7748925305653783,0.35454545454545466
346,0.39,0.1,-42.0,0.8056209077317393,0.35454545454545466
347,0.39,0.1,-41.0,0.8364367426777387,0.35454545454545466
348,0.39,0.1,-40.0,0.8669611482330434,0.35454545454545466
349,0.39,0.1,-39.0,0.8969049871523852,0.35454545454545466
350,0.39,0.1,-38.0,0.9260517386302376,0.35454545454545466
351,0.39,0.1,-37.0,0.9542434099535032,0.35454545454545466
352,0.39,0.1,-36.0,0.981368972893226,0.35454545454545466
353,0.39,0.1,-35.0,1.0073548938272758,0.35454545454545466
354,0.39,0.1,-34.0,1.0321573974220577,0.35454545454545466
355,0.39,0.1,-33.0,1.0557561691271762,0.35454545454545466
356,0.39,0.1,-32.0,1.0781492428765491,0.35454545454545466
357,0.39,0.1,-31.0,1.0993488977988513,0.35454545454545466
358,0.39,0.1,-30.0,1.119378322568344,0.35454545454545466
359,0.39,0.1,-29.0,1.138268997801002,0.35454545454545466
360,0.39,0.1,-28.0,1.1560586397504389,0.35454545454545466
361,0.39,0.1,-27.0,1.172789556814671,0.35454545454545466
362,0.39,0.1,-26.0,1.1885074446575727,0.35454545454545466
363,0.39,0.1,-25.0,1.2032605204192584,0.35454545454545466
364,0.39,0.1,-24.0,1.2170988614694618,0.35454545454545466
365,0.39,0.1,-23.0,1.2300741032094873,0.35454545454545466
366,0.39,0.1,-22.0,1.2422393224602228,0.35454545454545466
367,0.39,0.1,-21.0,1.2536491681169937,0.35454545454545466
368,0.39,0.1,-20.0,1.2643603073201162,0.35454545454545466
369,0.395,0.1,-60.0,1.8892540530723008,0.3761904761904763
370,0.395,0.1,-59.0,1.546735012008028,0.3761904761904763
371,0.395,0.1,-58.0,1.2803937311176985,0.3761904761904763
372,0.395,0.1,-57.0,1.0760308053501737,0.3761904761904763
373,0.395,0.1,-56.0,0.9219492564757056,0.3761904761904763
374,0.395,0.1,-55.0,0.8085223423677571,0.3761904761904763
