Stretch ratio (-),Ogden Pzz (Pa),Ogden Pxx (Pa)
2.189999999999999,205268.71831389004,-5.596518680616494e-10
2.199999999999999,212402.4130771277,4.264970537943876e-10
2.209999999999999,219681.01896272914,3.1993180751821275e-10
2.219999999999999,227104.4432574276,5.866270424421044e-10
2.229999999999999,234672.57417072455,-1.0667093286634345e-10
2.239999999999999,242385.2840650419,-4.2671375372810573e-10
2.249999999999999,250242.43247532335,4.2672828054158536e-10
2.259999999999999,258243.86891888108,-5.86750556309245e-10
2.269999999999999,266389.4354981958,-7.467465413607194e-10
2.279999999999999,274678.9693010264,8.000297645078757e-10
2.289999999999999,283112.3046035181,-5.332984191823123e-10
2.299999999999999,291689.27488308825,-9.598078188767826e-10
2.309999999999999,300409.7146487782,-2.1325522570467247e-10
2.319999999999999,309273.46109735,-1.8123134139303295e-09
2.329999999999999,318280.35560394026,-5.862041711170732e-10
2.339999999999999,327430.24505634955,-6.926101972900358e-10
2.3499999999999988,336722.9830422139,-1.118515357048927e-09
2.359999999999999,346158.4308983525,4.2596892888152527e-10
2.3699999999999988,355736.458631503,-8.516510262466754e-10
2.379999999999999,365456.94571950403,3.724622715253926e-10
2.389999999999999,375319.7818017785,4.786944890925124e-10
2.399999999999999,385324.86726763804,-1.5949911116288619e-10
2.409999999999999,395472.1137506625,-5.314321599113007e-10
2.419999999999999,405761.44453699666,1.593565536060961e-09
2.429999999999999,416192.794895051,2.123732522657577e-10
2.439999999999999,426766.11233366525,6.36799654106685e-10
2.449999999999999,437481.3567954363,1.0607772198640056e-10
2.459999999999999,448338.5007914284,-1.6963205499479606e-09
2.469999999999999,459337.52948314307,-3.814570100772987e-09
2.479999999999999,470478.4407172019,-4.235941069786741e-10
2.489999999999999,481761.2450177973,-1.7991922362952951e-09
2.4999999999999987,493185.9655415824,1.1634620316711211e-09
2.509999999999999,504752.63799937756,2.2197399564235484e-09
2.5199999999999987,516461.3105486149,1.1619605638278209e-09
2.529999999999999,528312.043660219,-6.33371768771467e-10
2.5399999999999987,540304.9099632513,-3.481153773780596e-09
2.549999999999999,552439.9940703809,4.2166189741834403e-10
2.5599999999999987,564717.3923869571,3.160197404672644e-10
2.569999999999999,577137.2129062103,-1.9999946840521237e-09
2.5799999999999987,589699.5749928766,-4.628114444821799e-09
2.589999999999999,602404.6091573059,1.99698714089994e-09
2.5999999999999988,615252.4568219361,-1.680374845235122e-09
2.609999999999999,628243.270081751,-6.296459429172132e-10
2.6199999999999988,641377.2114603219,3.5651488774281526e-09
2.629999999999999,654654.4536626635,3.038401352904662e-09
2.639999999999999,668075.179326171,-1.5702968264899767e-09
2.649999999999999,681639.5807706706,4.1839738286163147e-10
2.659999999999999,695347.8597485156,-3.1353351878073497e-10
2.6699999999999986,709200.2271955622,9.397977858183587e-10
2.679999999999999,723196.9029837501,1.0433179387218023e-10
2.6899999999999986,737338.1156758755,-2.9187385684911537e-09
2.699999999999999,751624.1022831846,-1.3539320627256436e-09
2.7099999999999986,766055.1080261634,-8.324456008861956e-10
2.719999999999999,780631.3860989865,2.079238738598227e-09
2.7299999999999986,795353.1974379584,1.0386736373582614e-09
2.739999999999999,810220.810494179,2.075440252531806e-09
2.7499999999999987,825234.5010107491,2.280870124629841e-09
2.759999999999999,840394.5518046325,1.0357910035891976e-09
2.7699999999999987,855701.2525533648,-1.2417791853312852e-09
2.779999999999999,871154.8995867115,-3.928570662451645e-09
2.7899999999999987,886755.7956833447,-3.5116780018207823e-09
2.799999999999999,902504.2498726343,-5.778374082171693e-09
2.8099999999999987,918400.577241511,-5.3604344332676856e-09
2.819999999999999,934445.0987464908,5.1492375318463e-09
2.8299999999999987,950638.1410308037,1.2346043421074394e-09
2.8399999999999985,966980.0362465797,2.672335508297085e-09
2.8499999999999988,983471.1218821217,-3.4911231606343837e-09
2.8599999999999985,1000111.7405941213,6.154655496547345e-10
2.8699999999999988,1016902.2400448391,-1.8445437462809431e-09
2.8799999999999986,1033842.9727440992,-4.09485187542236e-10
2.889999999999999,1050934.2958960736,6.136052697702487e-10
2.8999999999999986,1068176.5712507349,-3.6778829975024194e-09
2.909999999999999,1085570.1649598868,-7.348243031729095e-09
2.9199999999999986,1103115.447437696,-4.078164271448859e-10
2.929999999999999,1120812.7932256057,2.648073012926559e-09
2.9399999999999986,1138662.5808615126,7.325533027448399e-09
2.949999999999999,1156665.1927531539,-3.6589600975886597e-09
2.9599999999999986,1174821.0150555056,1.2183813261454116e-09
2.969999999999999,1193130.437552227,6.694084341946261e-09
2.9799999999999986,1211593.8535408715,-6.4844176294552575e-09
2.9899999999999984,1230211.6597218828,-4.858190765057027e-09
2.9999999999999987,1248984.2560912445,6.066322881484704e-10
3.0099999999999985,1267912.0458366198,3.02994782606561e-09
3.0199999999999987,1286995.435236966,-6.053457591683785e-10
