Stretch Ratio (-),Stress (Pa)
3.88,199729124.3524858
3.89,205544429.9816228
3.9,211513467.95673558
3.91,217639892.42742223
3.92,223927434.70831606
3.93,230379904.7048499
3.94,237001192.3618949
3.95,243795269.1344637
3.96,250766189.48389348
3.97,257918092.39390725
3.98,265255202.91410512
3.99,272781833.725227
4.0,280502386.72993636
4.01,288421354.6681379
4.02,296543322.7571559
4.03,304872970.35741395
4.04,313415072.6641517
4.05,322174502.42630863
4.06,331156231.6867843
4.07,340365333.55743754
4.08,349806984.0147737
4.09,359486463.72514886
4.1,369409159.8989395
4.11,379580568.1710324
4.12,390006294.510246
4.13,400692057.15880823
4.14,411643688.5994546
4.15,422867137.55322564
4.16,434368471.00657266
4.17,446153876.2696465
4.18,458229663.0635823
4.19,470602265.6414381
4.2,483278244.9387005
4.21,496264290.75436556
4.22,509567223.97034997
4.23,523193998.79521805
4.24,537151705.0471171
4.25,551447570.467697
4.26,566088963.0711019
4.27,581083393.5245491
4.28,596438517.5705043
4.29,612162138.4717802
4.3,628262209.5061443
4.31,644746836.4876591
4.32,661624280.3272176
4.33,678902959.6311077
4.34,696591453.3338807
4.35,714698503.3729384
4.36,733233017.397866
4.37,752204071.5204926
4.38,771620913.1034358
4.39,791492963.5882115
4.4,811829821.3635046
4.41,832641264.6740197
4.42,853937254.5710213
4.43,875727937.90174
4.44,898023650.3458834
4.45,920834919.4886677
4.46,944172467.9413587
4.47,968047216.5032309
4.48,992470287.3679858
4.49,1017453007.3746551
4.5,1043006911.3037953
4.51,1069143745.2187802
4.52,1095875469.8535616
4.53,1123214264.0468588
4.54,1151172528.2236352
4.55,1179762887.9239328
4.56,1208998197.3806636
4.57,1238891543.14515
4.58,1269456247.7628648
4.59,1300705873.4990027
4.6,1332654226.1136773
4.61,1365315358.6897774
4.62,1398703575.5102031
4.63,1432833435.989611
4.64,1467719758.6575184
4.65,1503377625.1949413
4.66,1539822384.5257847
4.67,1577069656.961591
4.68,1615135338.4027522
4.69,1654035604.5942774
4.7,1693786915.4395292
4.71,1734406019.3694005
4.72,1775909957.7699187
4.73,1818316069.46844
4.74,1861641995.2783792
4.75,1905905682.6035295
4.76,1951125390.1029165
4.77,1997319692.4164994
4.78,2044507484.951915
4.79,2092707988.7344043
4.8,2141940755.3191419
4.81,2192225671.7670236
4.82,2243582965.6850533
4.83,2296033210.3311343
4.84,2349597329.787508
4.85,2404296604.193383
4.86,2460152675.052966
4.87,2517187550.609705
4.88,2575423611.282831
4.89,2634883615.176036
4.9,2695590703.665651
4.91,2757568407.0439787
