Stretch ratio (-),NeoHookean Pzz (Pa),NeoHookean Pxx (Pa)
2.1599999999999993,1283.218974849785,7.060085314185306e-11
2.169999999999999,1291.106135514237,1.4119196286753525e-10
2.1799999999999993,1298.9753128243385,-1.2105926786093565e-10
2.189999999999999,1306.8268316437377,-8.21785419929086e-11
2.199999999999999,1314.6610094567507,-1.313797269663686e-10
2.209999999999999,1322.478156568718,-1.532848643958032e-10
2.219999999999999,1330.2785762994529,1.5058393416568302e-11
2.229999999999999,1338.062565170618,6.375984591332868e-11
2.239999999999999,1345.830413087633,-4.231800208111218e-11
2.249999999999999,1353.582403515707,-9.623572071958699e-11
2.259999999999999,1361.3188136502956,-1.3758802434307126e-10
2.269999999999999,1369.03991458256,-1.0778035460576315e-10
2.279999999999999,1376.7459714595996,-1.8517060515483736e-11
2.289999999999999,1384.4372436398442,-3.436555170532581e-12
2.299999999999999,1392.1139848438445,7.335737755410042e-11
2.309999999999999,1399.7764433002396,7.006433112073362e-11
2.319999999999999,1407.4248618876304,9.650233116399339e-11
2.329999999999999,1415.0594782719295,4.367498360583261e-11
2.339999999999999,1422.6805250398909,1.663881155568383e-10
2.3499999999999988,1430.288229828201,-6.788002589288466e-11
2.359999999999999,1437.8828154495868,-7.883743265464375e-11
2.3699999999999988,1445.4645000141604,-7.201185213883145e-11
2.379999999999999,1453.0334970480312,5.744992278918861e-11
2.389999999999999,1460.5900156079526,3.6156618986784414e-11
2.399999999999999,1468.134260393077,1.2557985261003403e-10
2.409999999999999,1475.6664318528783,-1.3500439328769225e-10
2.419999999999999,1483.186726292849,1.1161686638316104e-10
2.429999999999999,1490.6953359758304,1.0299724762493009e-10
2.439999999999999,1498.1924492218586,-1.2838887409271797e-10
2.449999999999999,1505.67825050448,6.787888639691805e-11
2.459999999999999,1513.1529205438296,-1.6879460705454049e-10
2.469999999999999,1520.6166363984548,2.6761888912224564e-11
2.479999999999999,1528.0695715528916,-3.217878965868626e-11
2.489999999999999,1535.5118960042291,-1.5512551489974293e-10
2.4999999999999987,1542.9437763454882,9.584538857311134e-11
2.509999999999999,1550.3653758465175,1.5898031638385022e-10
2.5199999999999987,1557.7768545333702,1.0487494252917898e-10
2.529999999999999,1565.1783692648937,-1.346919988605211e-10
2.5399999999999987,1572.5700738075695,-6.91062202178707e-11
2.549999999999999,1579.9521189077946,-4.8577592888087467e-11
2.5599999999999987,1587.3246523627984,-1.5618657740258946e-10
2.569999999999999,1594.6878190893801,-1.3720101641386436e-10
2.5799999999999987,1602.0417611906148,-4.120328476262325e-11
2.589999999999999,1609.3866180209293,-1.6111134403167688e-10
2.5999999999999988,1616.7225262496818,1.0505102763657156e-10
2.609999999999999,1624.0496199222698,1.276219266598836e-10
2.6199999999999988,1631.3680305205344,-1.550539876364609e-10
2.629999999999999,1638.677887021212,8.798115151243641e-11
2.639999999999999,1645.9793159521525,-3.39310782088609e-11
2.649999999999999,1653.2724414483885,-2.660463377162048e-11
2.659999999999999,1660.5573853055403,-2.8135214057896328e-11
2.6699999999999986,1667.8342670324791,-7.417804452250108e-12
2.679999999999999,1675.103203902349,-1.2856630721742494e-10
2.6899999999999986,1682.3643110024836,-1.0832949101191061e-10
2.699999999999999,1689.6177012826954,-1.3911122222192182e-10
2.7099999999999986,1696.8634856026893,-7.099104300724267e-11
2.719999999999999,1704.1017727780038,1.79299514396937e-10
2.7299999999999986,1711.332669624743,1.1737581630867672e-10
2.739999999999999,1718.5562810035437,-1.3637308558270186e-10
2.7499999999999987,1725.7727098621638,1.2532886774555936e-10
2.759999999999999,1732.982057276552,1.772093730797538e-10
2.7699999999999987,1740.1844224918145,1.3371224188309636e-10
2.779999999999999,1747.3799029614884,1.1503174776482552e-10
2.7899999999999987,1754.5685943859435,8.718572165847171e-12
2.799999999999999,1761.7505907500442,1.693647302662071e-10
2.8099999999999987,1768.925984359436,1.1070032603331143e-10
2.819999999999999,1776.094865876529,-1.1432525789085237e-11
2.8299999999999987,1783.2573243551658,6.222584631462679e-11
2.8399999999999985,1790.4134472743926,-3.633007993245625e-11
2.8499999999999988,1797.5633205718404,2.1452978745557012e-11
2.8599999999999985,1804.7070286757748,1.6347950262205445e-10
2.8699999999999988,1811.844654536644,1.0263994899249857e-10
2.8799999999999986,1818.9762796579673,8.972426050767186e-11
2.889999999999999,1826.1019841261316,-4.8989595001928154e-11
2.8999999999999986,1833.2218466398876,1.8354276869063604e-10
2.909999999999999,1840.3359445385559,1.7650192632454855e-10
2.9199999999999986,1847.4443538302796,2.0161660773787603e-11
2.929999999999999,1854.5471492191748,1.8292777498909644e-10
2.9399999999999986,1861.644404131572,-1.7273285439438414e-10
2.949999999999999,1868.7361907425573,-1.5860507899598726e-10
2.9599999999999986,1875.8225800007287,-8.080183290398102e-11
2.969999999999999,1882.9036416532092,-2.111399007424513e-11
2.9799999999999986,1889.979444269734,-1.8172628038619093e-10
2.9899999999999984,1897.0500552664246,5.1391558707425194e-11
2.9999999999999987,1904.1155409284395,1.0491800970738253e-10
3.0099999999999985,1911.1759664327894,-1.8341740840042767e-10
3.0199999999999987,1918.2313958704308,7.884934102498186e-13
3.0299999999999985,1925.2818922672857,5.449519279469529e-11
3.0399999999999987,1932.3275176056034,-7.080122735688037e-11
3.0499999999999985,1939.3683328444213,-7.646300154317291e-11
3.0599999999999987,1946.404397939507,1.7857081037834168e-10
3.0699999999999985,1953.435771862796,-8.267284311930132e-11
3.0799999999999987,1960.462512621985,-1.0032272884448022e-10
3.0899999999999985,1967.4846772787691,-5.702059976733987e-11
3.0999999999999988,1974.502321967332,3.075254914957357e-11
3.1099999999999985,1981.5155019121553,-9.600503487800297e-12
3.1199999999999988,1988.5242714455887,4.8078855394555706e-11
3.1299999999999986,1995.5286840247663,-8.748170156207914e-11
3.1399999999999983,2002.52879224851,-6.511204855986886e-11
3.1499999999999986,2009.5246478734607,-8.856302029630165e-12
3.1599999999999984,2016.5163018301491,4.838293035187176e-11
3.1699999999999986,2023.5038042385825,2.0998740866819203e-11
3.1799999999999984,2030.4872044235822,1.3913140142774964e-10
3.1899999999999986,2037.466550929592,1.790455883932191e-10
3.1999999999999984,2044.4418915353785,1.7039746482004846e-11
3.2099999999999986,2051.413273268369,-1.6822266991624868e-10
3.2199999999999984,2058.3807424186116,3.011508640237286e-11
3.2299999999999986,2065.344344552253,2.44551168497307e-11
3.2399999999999984,2072.304124525211,-8.898954397313111e-11
3.2499999999999987,2079.260126496159,-1.872448457649432e-10
3.2599999999999985,2086.2123939393814,1.2201704056546145e-10
3.2699999999999987,2093.160969657101,1.8699363801621622e-10
3.2799999999999985,2100.105895792017,-9.85664110325171e-11
3.2899999999999987,2107.047213839401,1.6452479830671243e-10
3.2999999999999985,2113.9849646584025,1.820728926052009e-10
3.3099999999999983,2120.9191884840016,8.003397446145519e-11
3.3199999999999985,2127.849924938118,-4.2142515483247354e-11
3.3299999999999983,2134.777213040634,-1.8123414846201348e-10
